type,pkt_count,mac,rssi,rate,noise_floor,channel,rx_local_timestamp_us,len,data
CSI_DATA,63567,3c:dc:75:82:1e:a8,-25,11,-98,157,838348352,114,"[-18,7,-20,5,-21,4,-21,2,-22,1,-21,0,-22,-1,-21,-1,-23,-1,-22,-3,-23,-4,-23,-5,-24,-4,-25,-5,-26,-7,-27,-6,-28,-5,-29,-5,-28,-7,-30,-8,-28,-8,-31,-8,-31,-8,-32,-10,-35,-12,-34,-10,-34,-11,-34,-10,0,0,-34,-12,-37,-13,-32,-13,-34,-14,-32,-13,-31,-14,-30,-14,-31,-15,-31,-14,-31,-13,-28,-13,-27,-14,-26,-14,-25,-13,-26,-12,-24,-13,-24,-13,-22,-13,-22,-13,-22,-13,-21,-14,-21,-16,-20,-17,-17,-17,-18,-19,-15,-18,-12,-21,-9,-20]"
CSI_DATA,63568,3c:dc:75:82:1e:a8,-25,11,-98,157,838361789,114,"[19,1,20,4,21,4,22,6,21,5,22,7,20,7,22,7,22,7,22,9,21,9,22,9,22,8,25,8,24,9,25,8,26,10,28,7,28,9,28,9,31,9,32,8,32,9,32,9,34,7,34,7,35,5,35,6,0,0,37,5,36,5,36,6,34,5,35,5,35,5,34,5,33,5,33,3,32,1,32,2,31,1,30,2,28,1,28,1,28,1,26,2,26,0,27,0,26,1,25,1,26,1,24,3,25,3,25,3,23,7,22,8,22,8]"
CSI_DATA,63569,3c:dc:75:82:1e:a8,-25,11,-98,157,838374352,114,"[-19,2,-21,1,-20,0,-21,-1,-20,-3,-21,-4,-21,-6,-21,-7,-22,-7,-20,-8,-21,-8,-21,-10,-22,-11,-23,-11,-22,-12,-24,-13,-24,-12,-26,-12,-25,-14,-26,-16,-27,-16,-28,-16,-28,-17,-28,-17,-28,-18,-28,-18,-30,-20,-30,-21,0,0,-28,-22,-28,-22,-27,-21,-27,-23,-26,-24,-27,-23,-25,-24,-23,-22,-24,-24,-23,-21,-22,-21,-21,-22,-19,-22,-18,-21,-19,-21,-18,-19,-18,-20,-17,-20,-17,-21,-15,-22,-14,-20,-13,-22,-11,-23,-10,-23,-9,-23,-7,-23,-3,-23,-1,-22]"
CSI_DATA,63570,3c:dc:75:82:1e:a8,-25,11,-98,157,838387352,114,"[-18,-7,-18,-9,-19,-10,-18,-11,-17,-11,-17,-11,-17,-13,-18,-12,-18,-14,-17,-15,-18,-14,-18,-14,-19,-14,-19,-15,-20,-15,-21,-15,-22,-15,-24,-16,-23,-16,-25,-16,-26,-16,-27,-17,-27,-17,-27,-17,-29,-17,-30,-17,-31,-18,-30,-18,0,0,-32,-15,-32,-16,-32,-15,-31,-15,-31,-15,-32,-14,-30,-16,-30,-14,-30,-13,-28,-10,-29,-11,-27,-10,-27,-10,-28,-11,-27,-10,-25,-10,-26,-9,-25,-8,-25,-7,-24,-9,-23,-8,-23,-10,-23,-9,-22,-11,-22,-13,-20,-13,-18,-15,-17,-14]"
CSI_DATA,63571,3c:dc:75:82:1e:a8,-25,11,-98,157,838400352,114,"[-14,-13,-14,-15,-14,-16,-15,-16,-13,-16,-14,-17,-13,-16,-15,-18,-15,-17,-15,-17,-15,-18,-15,-17,-18,-18,-19,-18,-18,-17,-21,-18,-22,-17,-24,-16,-24,-16,-25,-15,-27,-15,-28,-14,-29,-14,-29,-14,-32,-13,-32,-12,-33,-12,-34,-9,0,0,-36,-6,-36,-5,-36,-6,-36,-4,-36,-4,-35,-3,-34,-2,-34,-1,-33,-1,-32,4,-31,4,-31,4,-29,4,-28,5,-27,6,-27,8,-25,8,-26,8,-24,9,-24,9,-23,10,-24,7,-24,9,-23,8,-24,8,-25,6,-23,3,-22,3]"
CSI_DATA,63572,3c:dc:75:82:1e:a8,-25,11,-98,157,838413352,114,"[-19,-3,-19,-3,-20,-5,-19,-6,-19,-7,-20,-7,-20,-9,-19,-9,-19,-9,-20,-11,-20,-10,-21,-12,-21,-10,-22,-12,-22,-12,-25,-12,-23,-12,-27,-11,-25,-11,-28,-13,-27,-12,-28,-11,-29,-13,-31,-12,-33,-14,-32,-12,-33,-12,-34,-12,0,0,-33,-11,-36,-11,-32,-11,-33,-12,-32,-11,-32,-10,-32,-11,-32,-11,-32,-11,-32,-8,-30,-8,-29,-8,-28,-8,-27,-7,-27,-6,-26,-7,-27,-7,-26,-6,-25,-6,-25,-7,-24,-7,-24,-9,-24,-10,-23,-9,-23,-11,-20,-12,-19,-13,-17,-14]"
CSI_DATA,63573,3c:dc:75:82:1e:a8,-25,11,-98,157,838426352,114,"[-17,-9,-18,-10,-17,-11,-17,-13,-17,-12,-18,-13,-17,-14,-18,-14,-18,-13,-18,-14,-19,-13,-19,-13,-22,-14,-22,-14,-22,-12,-23,-12,-24,-12,-27,-11,-27,-11,-27,-11,-31,-10,-32,-9,-31,-9,-33,-7,-34,-7,-35,-6,-36,-4,-36,-3,0,0,-38,-2,-37,0,-36,-1,-36,0,-36,1,-36,3,-34,4,-34,4,-33,6,-31,8,-31,8,-30,9,-28,8,-27,9,-27,10,-25,11,-25,11,-25,12,-23,12,-23,11,-23,12,-23,11,-22,11,-23,10,-23,10,-24,8,-23,7,-22,4]"
CSI_DATA,63574,3c:dc:75:82:1e:a8,-25,11,-98,157,838439352,114,"[-17,9,-18,8,-20,7,-21,6,-20,4,-20,4,-21,3,-21,2,-22,3,-23,1,-24,2,-23,1,-24,1,-25,3,-24,2,-26,3,-27,3,-28,5,-28,4,-30,3,-29,4,-31,5,-31,4,-34,4,-34,4,-35,5,-35,5,-35,5,0,0,-36,6,-36,8,-34,5,-36,5,-34,6,-34,6,-35,6,-33,5,-33,6,-32,6,-31,7,-30,7,-28,4,-28,5,-29,6,-26,5,-27,5,-26,5,-25,5,-26,4,-25,4,-25,2,-25,2,-25,0,-25,-1,-25,-3,-22,-5,-22,-6]"
CSI_DATA,63575,3c:dc:75:82:1e:a8,-25,11,-98,157,838452353,114,"[-19,6,-19,5,-20,4,-20,3,-21,2,-21,3,-23,2,-22,2,-22,2,-23,1,-22,2,-23,3,-25,3,-26,4,-25,6,-26,7,-26,7,-27,9,-28,8,-29,10,-30,12,-30,13,-29,13,-30,15,-32,15,-30,18,-31,18,-29,19,0,0,-30,22,-28,21,-29,22,-29,22,-27,23,-27,23,-27,23,-25,24,-25,24,-22,25,-21,25,-19,24,-19,23,-16,22,-16,25,-15,23,-16,23,-14,25,-14,23,-14,23,-13,23,-14,22,-13,22,-15,21,-14,22,-15,19,-17,18,-17,17]"
CSI_DATA,63576,3c:dc:75:82:1e:a8,-25,11,-98,157,838465866,114,"[17,9,16,11,16,12,15,14,15,14,15,15,14,16,15,17,15,17,14,17,14,18,13,19,14,19,15,21,13,21,16,22,16,21,17,22,16,24,16,25,18,26,19,26,19,26,18,26,19,28,20,29,21,30,19,29,0,0,21,30,21,30,19,31,18,31,19,30,19,29,18,30,18,29,18,29,18,27,17,27,16,26,15,25,14,25,15,25,13,23,14,22,14,25,13,23,12,24,12,23,11,23,9,24,7,24,7,23,4,24,0,23,0,23]"
